Id	Categories	Description
COG5108	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
COG5109	S	Required for meiotic nuclear division 5 homolog
COG5110	O	26s proteasome regulatory subunit
COG5111	K	dna-directed rna polymerase iii subunit
COG5112	S	zinc finger protein
COG5113	O	Ubiquitin conjugation factor E4
COG5114	B	transcriptional
COG5116	O	26s proteasome
COG5117	JU	nucleolar complex associated 3 homolog (S. cerevisiae)
COG5118	K	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB
COG5119	S	sulfiredoxin
COG5120	U	golgi transport
COG5122	U	trafficking protein particle complex
COG5123	K	TFIIA is a component of the transcription machinery of RNA polymerase II and plays an important role in transcriptional activation (By similarity)
COG5124	D	meiotic nuclear divisions 1 homolog (S. cerevisiae)
COG5125	S	non-SMC element 4 homolog A (S. cerevisiae)
COG5126	DTZ	Calcium-binding protein
COG5127	C	ATP hydrolysis coupled proton transport
COG5128	U	trafficking protein particle complex
COG5129	S	MAK16 homolog (S. cerevisiae)
COG5130	U	Prenylated RAB acceptor
COG5131	O	tRNA thio-modification
COG5132	DK	BUD31 homolog
COG5133	S	Family with sequence similarity 96, member
COG5134	S	Coiled-coil domain-containing protein
COG5135	S	pyridoxamine 5'-phosphate
COG5136	A	Component of the U1 snRNP, which is essential for recognition of the pre-mRNA 5' splice-site and the subsequent assembly of the spliceosome. U1-C is directly involved in initial 5' splice-site recognition for both constitutive and regulated alternative splicing. The interaction with the 5' splice-site seems to precede base-pairing between the pre-mRNA and the U1 snRNA
COG5137	BK	ASF1 anti-silencing function 1 homolog
COG5138	S	DNA replication complex GINS protein
COG5139	S	IWS1 homolog (S. cerevisiae)
COG5140	O	Ubiquitin fusion degradation protein
COG5141	S	phd finger
COG5142	L	oxidation resistance protein
COG5143	U	Vesicle-associated membrane protein
COG5144	K	Transcription factor
COG5145	L	DNA repair protein
COG5146	H	PaNtothenate Kinase
COG5147	K	Myblike DNAbinding domain containing protein
COG5148	O	26S proteasome nonATPase regulatory subunit
COG5149	K	Transcription factor
COG5150	K	Down-regulator of transcription 1, TBP-binding (Negative cofactor 2)
COG5151	K	Transcription factor
COG5152	S	Ring finger protein
COG5153	IU	Lipase which is essential for lysis of subvacuolar cytoplasm to vacuole targeted bodies and intravacuolar autophagic bodies. Involved in the lysis of intravacuolar multivesicular body (MVB) vesicles. The intravacuolar membrane disintegration by ATG15 is critical to life span extension (By similarity)
COG5154	J	ribosome biogenesis protein brx1
COG5155	DO	extra spindle pole bodies homolog 1 (S. cerevisiae)
COG5156	DO	complex subunit 10
COG5157	K	cell division cycle 73, Paf1 RNA polymerase II complex component, homolog (S. cerevisiae)
COG5158	U	Vacuolar Protein
COG5159	O	cop9 signalosome complex subunit
COG5160	O	SUMO1 sentrin specific peptidase
COG5161	A	cleavage and polyadenylation
COG5162	K	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor
COG5163	J	Component of the NOP7 complex, which is required for maturation of the 25S and 5.8S ribosomal RNAs and formation of the 60S ribosome (By similarity)
COG5164	K	Transcription elongation factor
COG5165	B	Component of the FACT complex, a general chromatin factor that acts to reorganize nucleosomes. The FACT complex is involved in multiple processes that require DNA as a template such as mRNA elongation, DNA replication and DNA repair. During transcription elongation the FACT complex acts as a histone chaperone that both destabilizes and restores nucleosomal structure. It facilitates the passage of RNA polymerase II and transcription by promoting the dissociation of one histone H2A-H2B dimer from the nucleosome, then subsequently promotes the reestablishment of the nucleosome following the passage of RNA polymerase II
COG5167	U	vacuolar import and degradation protein
COG5169	K	Transcription factor
COG5170	T	protein phosphatase type 2A regulator activity
COG5171	U	ran binding protein
COG5173	U	Exocyst complex component
COG5174	K	general transcription factor IIE, polypeptide 2, beta 34kDa
COG5175	K	CCR4-NOT transcription complex subunit 4
COG5176	A	mRNA processing
COG5177	S	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)
COG5178	A	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)
COG5179	K	transcription initiation factor tfiid subunit
COG5180	S	stress granule assembly
COG5181	A	Splicing factor 3b subunit
COG5182	A	Splicing factor 3b subunit
COG5183	O	(Membrane-Associated Ring finger (C3HC4))
COG5184	DZ	regulator of chromosome condensation
COG5185	D	NDC80 kinetochore complex component, homolog (S. cerevisiae)
COG5186	A	polyA polymerase
COG5187	O	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 6
COG5188	A	Splicing factor 3A subunit 3
COG5189	S	JAZF zinc finger 1
COG5190	K	CTD (Carboxy-terminal domain, RNA polymerase II, polypeptide A)
COG5191	S	UTP6, small subunit (SSU) processome component, homolog (yeast)
COG5192	J	Ribosome biogenesis protein bms1
COG5193	JO	La ribonucleoprotein domain family member
COG5194	O	protein ubiquitination
COG5195	S	INO80 complex subunit
COG5196	U	Required for the retention of luminal endoplasmic reticulum proteins. Determines the specificity of the luminal ER protein retention system. Also required for normal vesicular traffic through the Golgi (By similarity)
COG5197	S	yip1 interacting factor homolog
COG5198	S	Protein tyrosine phosphatase-like
COG5199	Z	Calponin
COG5200	A	S. cerevisiae
COG5201	O	ubiquitin-dependent protein catabolic process
COG5202	I	membrane bound O-acyltransferase domain containing
COG5204	K	Transcription elongation factor
COG5206	O	phosphatidylinositol glycan anchor biosynthesis, class K
COG5207	O	ubiquitin carboxyl-terminal hydrolase
COG5208	K	Nuclear transcription factor Y
COG5209	S	cell differentiation protein Rcd1
COG5210	S	TBC1 domain family member
COG5211	K	RNA polymerase II subunit A C-terminal domain phosphatase
COG5212	T	Phosphodiesterase
COG5213	A	mRNA processing
COG5214	L	DNA polymerase alpha
COG5215	U	Importin
COG5216	S	Diphthamide biosynthesis protein 3
COG5217	Z	microtubule-associated protein RP EB family member
COG5218	BD	Non-SMC condensin I complex subunit G
COG5219	O	listerin E3 ubiquitin protein ligase 1
COG5220	K	menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)
COG5221	K	Dopey family member
COG5222	S	Retinoblastoma binding protein 6
COG5223	S	U3 small nucleolar RNA-associated protein
COG5224	K	Nuclear transcription factor Y
COG5225	J	ribosome biogenesis regulatory protein
COG5226	A	Second step of mRNA capping. Transfer of the GMP moiety of GTP to the 5'-end of RNA via an enzyme-GMP covalent reaction intermediate (By similarity)
COG5227	O	smt3 suppressor of mif two 3 homolog
COG5228	K	Ccr4-not transcription complex, subunit
COG5229	BD	Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes. The condensin complex probably introduces positive supercoils into relaxed DNA in the presence of type I topoisomerases and converts nicked DNA into positive knotted forms in the presence of type II topoisomerases (By similarity)
COG5230	S	DNA replication complex GINS protein
COG5231	C	subunit (H
COG5232	U	translocation protein
COG5233	U	Golgi reassembly stacking protein
COG5234	OZ	Cofactor D
COG5235	L	Replication Protein
COG5236	S	zinc finger protein
COG5237	S	Post-GPI attachment to proteins
COG5238	U	RAN GTPase activating protein 1
COG5239	A	Ccr4-NOT transcription complex, subunit
COG5240	U	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins (By similarity)
COG5241	L	Excision repair cross-complementing rodent repair deficiency, complementation group 1 (Includes overlapping antisense sequence)
COG5242	K	Transcription factor
COG5243	O	zinc ion binding
COG5244	D	CAP-GLY domain containing linker protein
COG5245	Z	heavy chain
COG5246	A	Splicing factor 3A subunit
COG5247	K	protein 1 (negative cofactor 2 alpha)
COG5248	K	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor
COG5249	U	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)
COG5250	K	polymerase (RNA) II (DNA directed) polypeptide D
COG5251	K	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor
COG5252	S	zinc finger
COG5253	T	phosphatidylinositol-4-phosphate 5-kinase
COG5254	S	ARV1 homolog (S. cerevisiae)
COG5255	S	Domain of unknown function (DUF1868)
COG5256	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)
COG5257	J	translation initiation factor
COG5258	S	GTP binding protein
COG5259	BK	SWI SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member
COG5260	L	domain) containing
COG5261	Z	IQ motif containing GTPase activating protein
COG5262	B	histone h2a
COG5263	S	choline binding protein
COG5264	O	Vacuolar transporter chaperone
COG5265	V	iron ion homeostasis
COG5266	P	Nickel transport complex, NikM subunit, transmembrane
COG5267	S	Protein of unknown function (DUF1800)
COG5268	U	Conjugal transfer protein
COG5269	K	Transcription factor
COG5270	J	phosphoadenosine phosphosulfate reductase
COG5271	S	Nuclear chaperone required for maturation and nuclear export of pre-60S ribosome subunits (By similarity)
COG5272	O	ubiquitin
COG5273	S	Zinc finger, DHHC-type containing
COG5274	CI	cytochrome b5
COG5275	S	replication factor c
COG5276	S	LVIVD repeat protein
COG5277	Z	Actin-related protein
COG5278	T	CHASE3 domain
COG5279	D	neuromuscular junction development
COG5280	S	Phage tail tape measure protein, tp901 family
COG5281	S	Tape measure protein
COG5282	S	Conserved Protein
COG5283	S	Phage Tail Tape Measure Protein
COG5285	Q	phytanoyl-CoA dioxygenase
COG5290	K	phosphorylase kinase regulator activity
COG5291	S	Derlin 1
COG5293	S	Uncharacterized protein conserved in bacteria (DUF2326)
COG5295	UW	domain protein
COG5296	K	Rtf1, Paf1 RNA polymerase II complex component, homolog (S. cerevisiae)
COG5297	G	Cellobiohydrolase
COG5298	S	Uncharacterized protein conserved in bacteria (DUF2334)
COG5301	S	NA
COG5302	S	Post-segregation antitoxin CcdA
COG5304	S	NA
COG5305	S	Membrane
COG5306	S	MotA TolQ ExbB proton channel
COG5307	S	and Sec7 domain
COG5308	U	nuclear pore complex protein
COG5309	G	cell wall
COG5310	Q	Homospermidine synthase
COG5314	U	transfer protein trbJ
COG5316	S	NA
COG5317	S	Protein of unknown function (DUF1465)
COG5319	S	Protein of unknown function (DUF1178)
COG5321	S	Protein of unknown function (DUF1052)
COG5322	S	shikimate quinate 5-dehydrogenase
COG5323	S	phage DNA Packaging protein
COG5324	S	TRNA ligase
COG5325	U	SYNtaxin
COG5328	S	UPF0262 protein
COG5329	T	Phosphatase
COG5330	S	Uncharacterized protein conserved in bacteria (DUF2336)
COG5331	S	MAPEG family
COG5333	DKL	Component of the Mediator complex, a coactivator involved in regulated gene transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. Binds to and activates cyclin-dependent kinase cdk8 that phosphorylates the CTD (C-terminal domain) of the large subunit of RNA polymerase II (RNAp II), which may inhibit the formation of a transcription initiation complex
COG5336	S	atp synthase
COG5337	M	Spore Coat Protein
COG5338	S	Uncharacterized protein conserved in bacteria (DUF2320)
COG5339	S	GTP-Binding protein
COG5340	K	NA
COG5341	S	Secreted protein
COG5342	S	invasion associated locus B
COG5343	S	anti-sigma K factor Rska
COG5345	S	conserved protein UCP029693
COG5346	S	Predicted membrane protein (DUF2335)
COG5347	U	domain, ankyrin repeat and PH domain
COG5349	S	zinc-finger protein
COG5350	S	Tyrosine phosphatase
COG5351	S	Pentapeptide repeat-containing protein
COG5352	S	gcrA cell cycle regulator
COG5354	J	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)
COG5360	S	heparinase II III family protein
COG5361	S	Protein of unknown function (DUF1254)
COG5362	S	phage protein
COG5366	S	XPG I-region protein
COG5368	S	Pfam:DUF2329
COG5369	S	Armadillo repeat containing 8
COG5371	GO	Ectonucleoside triphosphate diphosphohydrolase
COG5373	S	Membrane
COG5374	S	b-cell receptor-associated protein
COG5375	S	Pfam:DUF1239
COG5377	L	phage-type endonuclease
COG5378	S	PIN domain
COG5379	I	S-adenosylmethionine diacylglycerol 3-amino-3-carboxypropyl
COG5380	O	lipid catabolic process
COG5381	S	NA
COG5383	S	Conserved Protein
COG5384	J	u3 small nucleolar ribonucleoprotein
COG5385	S	Uncharacterized protein conserved in bacteria (DUF2328)
COG5387	O	ATP synthase mitochondrial F1 complex assembly factor
COG5388	S	PAS domain
COG5389	S	Protein of unknown function (DUF721)
COG5391	U	sorting nexin
COG5393	S	Membrane
COG5394	S	synthesis repressor PhaR
COG5395	S	Predicted membrane protein (DUF2306)
COG5397	S	Protein of unknown function (DUF3620)
COG5398	P	Heme oxygenase
COG5400	S	conserved protein UCP033924
COG5401	S	germination protein
COG5402	S	Protein of unknown function (DUF1214)
COG5403	S	Bacterial protein of unknown function (DUF937)
COG5404	D	Component of the SOS system and an inhibitor of cell division. Accumulation of SulA causes rapid cessation of cell division and the appearance of long, non-septate filaments. In the presence of GTP, binds a polymerization-competent form of FtsZ in a 1 1 ratio, thus inhibiting FtsZ polymerization and therefore preventing it from participating in the assembly of the Z ring. This mechanism prevents the premature segregation of damaged DNA to daughter cells during cell division (By similarity)
COG5405	O	Protease subunit of a proteasome-like degradation complex believed to be a general protein degrading machinery (By similarity)
COG5406	K	Component of the FACT complex, a general chromatin factor that acts to reorganize nucleosomes. The FACT complex is involved in multiple processes that require DNA as a template such as mRNA elongation, DNA replication and DNA repair. During transcription elongation the FACT complex acts as a histone chaperone that both destabilizes and restores nucleosomal structure. It facilitates the passage of RNA polymerase II and transcription by promoting the dissociation of one histone H2A-H2B dimer from the nucleosome, then subsequently promotes the reestablishment of the nucleosome following the passage of RNA polymerase II
COG5407	U	translocation protein SEC63
COG5408	T	Phosphate transporter
COG5409	T	Xenotropic and polytropic retrovirus receptor 1
COG5410	S	phage protein
COG5411	T	inositol
COG5412	S	NA
COG5413	S	Membrane
COG5414	K	RNA polymerase II, TATA box binding protein (TBP)-associated factor
COG5416	S	Membrane
COG5418	S	Protein of unknown function (DUF523)
COG5419	S	Uncharacterized conserved protein (DUF2285)
COG5420	S	nitrogen fixation
COG5421	L	transposase
COG5422	T	guanine nucleotide exchange factor
COG5423	S	Predicted metal-binding protein (DUF2284)
COG5424	H	Ring cyclization and eight-electron oxidation of 3a-(2- amino-2-carboxyethyl)-4,5-dioxo-4,5,6,7,8,9-hexahydroquinoline- 7,9-dicarboxylic-acid to PQQ (By similarity)
COG5425	E	Usg family
COG5426	S	cytoplasmic protein
COG5427	S	YYY membrane protein
COG5428	S	Protein of unknown function (DUF2283)
COG5429	S	secreted protein
COG5430	S	spore coat U domain-containing protein
COG5431	S	Zinc finger SWIM domain protein
COG5432	T	RAD18 homolog (S. cerevisiae)
COG5433	L	Transposase
COG5434	M	Glycoside hydrolase family 28
COG5435	S	Domain of unknown function (DUF1795)
COG5436	S	NA
COG5437	S	Major tail protein, TP901-1
COG5438	S	YibE F family protein
COG5439	S	NA
COG5440	S	Uncharacterized conserved protein (DUF2299)
COG5441	S	UPF0261 protein
COG5442	N	flagellar biosynthesis regulatory protein FlaF
COG5443	N	Flagellar biosynthesis repressor FlbT
COG5445	S	(signal peptide) protein
COG5446	S	cobalt transporter, subunit CbtA
COG5447	S	Protein of unknown function (DUF1491)
COG5448	S	glycoside hydrolase (Family
COG5449	S	phage protein
COG5450	K	Antitoxin component of a toxin-antitoxin (TA) module. Upon expression in M.smegmatis neutralizes the effect of cognate toxin
COG5451	S	Protein of unknown function (DUF2385)
COG5452	S	Ubiquinol-cytochrome C chaperone
COG5453	S	transcriptional activator HlyU
COG5454	S	Protein of unknown function (DUF1467)
COG5455	S	integral membrane protein-like protein
COG5456	P	nitrogen fixation protein FixH
COG5457	S	Domain of unknown function (DUF1127)
COG5458	S	conserved protein UCP032025
COG5459	J	37S ribosomal protein RSM22
COG5460	S	Uncharacterized conserved protein (DUF2164)
COG5461	N	Pilus Caulobacter type biogenesis lipoprotein CpaD
COG5462	S	cell division protein, FtsL
COG5463	S	UPF0441 protein
COG5464	S	transposase
COG5465	S	Pfam:DUF1790
COG5466	S	Protein of unknown function (DUF1059)
COG5467	S	Domain of unknown function (DUF1476)
COG5468	S	Pfam:DUF2159
COG5469	S	Protein of unknown function (DUF1636)
COG5470	S	Protein of unknown function (DUF1330)
COG5471	S	reca rada recombinase
COG5472	S	integral membrane protein
COG5473	S	Cytochrome C oxidase subunit I
COG5474	S	Domain of unknown function (DUF1817)
COG5475	S	cytoplasmic protein
COG5476	S	microcystin LR degradation protein MlrC-like protein
COG5477	S	integral membrane protein
COG5478	S	Membrane
COG5480	S	Protein of unknown function (DUF1036)
COG5481	S	Protein of unknown function (DUF465)
COG5482	S	Uncharacterized conserved protein (DUF2161)
COG5483	S	HhH-GPD domain protein
COG5484	S	terminase, small subunit
COG5485	S	SnoaL-like polyketide cyclase
COG5486	S	Membrane
COG5488	S	Membrane
COG5489	S	Protein of unknown function (DUF736)
COG5490	S	phasin family
COG5491	N	Charged multivesicular body protein
COG5492	N	ig domain protein group 2 domain protein
COG5493	S	NA
COG5495	S	NADP oxidoreductase, coenzyme f420-dependent
COG5496	S	thioesterase
COG5497	S	Predicted secreted protein (DUF2259)
COG5498	M	Hydrolase
COG5499	K	Transcriptional regulator
COG5500	S	integral membrane protein
COG5501	S	Sulfur oxidation protein
COG5502	S	Uncharacterized conserved protein (DUF2267)
COG5504	O	Zn-dependent protease
COG5505	S	Protein of unknown function (DUF819)
COG5507	S	RNA signal recognition particle 4.5S RNA
COG5508	S	Protein of unknown function (DUF1674)
COG5509	S	Protein of unknown function (DUF1192)
COG5510	S	Entericidin
COG5511	S	Phage portal protein lambda family
COG5512	S	UPF0232 protein
COG5513	S	Secreted protein-like protein
COG5514	S	Domain of unknown function (DUF1794)
COG5515	S	Domain of unknown function (DUF1737)
COG5516	S	Protein of unknown function (DUF1470)
COG5517	Q	dioxygenase, subunit beta
COG5518	S	portal protein
COG5519	L	Domain of unknown function (DUF927)
COG5520	G	glucosylceramidase activity
COG5522	S	integral membrane protein
COG5523	S	integral membrane protein
COG5524	S	rhodopsin
COG5525	S	terminase (large subunit)
COG5526	S	Peptidoglycan-binding domain 1 protein
COG5527	L	replication protein
COG5528	S	integral membrane protein
COG5529	S	NA
COG5530	S	conserved protein UCP01500
COG5531	B	SWI SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member
COG5532	S	Uncharacterized conserved protein (DUF2303)
COG5533	O	ubiquitin carboxyl-terminal hydrolase
COG5534	L	replication
COG5535	L	nucleotide-excision repair
COG5536	O	(alpha) subunit
COG5537	D	Stromal antigen
COG5538	U	translocation protein (Sec66)
COG5539	O	otu domain-containing protein
COG5540	O	RING finger ubiquitin ligase
COG5541	U	vesicle-mediated transport
COG5542	S	Phosphatidylinositol glycan anchor biosynthesis class V
COG5543	S	thyroid adenoma associated
COG5544	S	(Lipo)protein
COG5545	S	Virulence-associated protein e
COG5548	S	Transmembrane protein 14
COG5549	O	peptidase m10a and m12b matrixin and adamalysin
COG5550	O	NA
COG5551	S	defense response to virus
COG5552	S	Uncharacterized conserved protein (DUF2277)
COG5553	S	cysteine dioxygenase type I
COG5554	Q	nitrogen fixation protein
COG5555	N	NA
COG5556	S	phage protein
COG5557	C	polysulphide reductase NrfD
COG5558	L	Transposase
COG5560	O	ubiquitin carboxyl-terminal hydrolase
COG5561	S	CGGC domain
COG5562	S	envelope protein
COG5563	S	Extracellular repeat protein, HAF family
COG5564	S	TIM-barrel signal transduction protein
COG5565	S	DNA packaging protein
COG5566	K	regulatoR
COG5567	M	(LipO)protein
COG5568	S	Protein of unknown function (DUF1150)
COG5569	S	efflux system protein
COG5570	S	Protein of unknown function (DUF465)
COG5571	N	Autotransporter beta-domain
COG5572	S	Predicted integral membrane protein (DUF2282)
COG5573	S	PilT protein domain protein
COG5574	O	Peroxisomal biogenesis factor 10
COG5575	L	origin recognition complex subunit
COG5578	S	Membrane
COG5579	S	Protein of unknown function (DUF1810)
COG5580	O	AHA1, activator of heat shock 90kDa protein ATPase homolog
COG5581	M	Acts as a flagellar brake, regulating swimming and swarming in a bis-(3'-5') cyclic diguanylic acid (c-di-GMP)- dependent manner. Increasing levels of c-di-GMP lead to decreased motility (By similarity)
COG5583	S	Uncharacterized small protein (DUF2292)
COG5585	T	head morphogenesis protein, SPP1 gp7 family
COG5586	S	Uncharacterized conserved protein (DUF2293)
COG5587	S	TIGR02453 family
COG5588	S	Protein of unknown function (DUF1326)
COG5589	S	Protein of unknown function (DUF2390)
COG5590	S	ubiquinone biosynthesis protein Coq9
COG5591	S	NA
COG5592	S	Hemerythrin hhe cation binding
COG5593	J	CCAAT enhancer binding protein (C EBP), zeta
COG5594	S	transmembrane protein 63C
COG5595	S	Zn-ribbon-containing, possibly nucleic-acid-binding protein
COG5596	O	mitochondrial import inner membrane translocase, subunit
COG5597	O	Glycosyl Transferase
COG5598	H	Trimethylamine methyltransferase
COG5599	T	protein tyrosine phosphatase
COG5600	L	PCI domain containing 2
COG5601	K	CCR4-NOT transcription complex subunit 2
COG5602	B	Paired AMPhipathic helix protein
COG5603	U	trafficking protein particle complex
COG5604	S	nucleolar complex protein 2
COG5605	S	cytochrome C oxidase subunit IV
COG5606	K	Transcriptional regulator (XRE family
COG5607	S	chad domain containing protein
COG5608	S	water Stress and Hypersensitive response
COG5609	S	Uncharacterized conserved protein (DUF2294)
COG5610	S	Hydrolase
COG5611	S	PilT protein domain protein
COG5612	S	NA
COG5613	S	secretion system, effector
COG5614	S	Phage head-tail adaptor
COG5615	S	integral membrane protein
COG5616	S	Adenylate cyclase
COG5617	S	membrane protein specific for M.kandleri, MK-13 family
COG5618	S	(LipO)protein
COG5619	S	Uncharacterized conserved protein (DUF2290)
COG5620	S	GAD-like protein
COG5621	S	secreted hydrolase-like protein
COG5622	N	host attachment protein
COG5623	A	Required for endonucleolytic cleavage during polyadenylation-dependent pre-mRNA 3'-end formation (By similarity)
COG5624	K	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor
COG5625	K	Transcription regulator
COG5626	S	Protein of unknown function (DUF2288)
COG5627	L	non-SMC element 2, MMS21 homolog (S. cerevisiae)
COG5628	S	acetyltransferase
COG5630	E	N-acetylglutamate synthase involved in arginine biosynthesis (By similarity)
COG5631	K	Transcriptional regulator
COG5632	M	N-acetylmuramoyl-L-alanine amidase activity
COG5633	S	(Lipo)protein
COG5634	S	Uncharacterized conserved protein (DUF2278)
COG5635	T	Signal transduction protein with Nacht domain
COG5636	S	Component of the cytosolic iron-sulfur (Fe S) protein assembly machinery. Required for the maturation of extramitochondrial Fe S proteins (By similarity). Has anti- apoptotic effects in the cell. Involved in negative control of H(2)O(2)-induced cell death, probably by tethering the pro- apoptotic factor tah18 in the cytoplasm in the absence of oxidative stress (By similarity)
COG5637	S	Cyclase dehydrase
COG5638	S	ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)
COG5639	S	Protein of unknown function (DUF2274)
COG5640	O	protease
COG5641	K	Transcription factor
COG5642	S	Toxin-antitoxin system antitoxin component
COG5644	S	Small nucleolar
COG5645	S	Lipoprotein
COG5646	S	Domain of unknown function (DU1801)
COG5647	O	cullin 1
COG5648	B	high mobility group
COG5649	S	Domain of unknown function (DU1801)
COG5650	S	integral membrane protein
COG5652	S	vanz family
COG5653	M	biosynthesis protein CelD
COG5654	S	RES domain-containing protein
COG5655	L	Replication Protein
COG5656	O	Importin
COG5657	O	Importin
COG5658	S	Membrane
COG5659	L	transposase
COG5660	S	Membrane
COG5661	O	Bacterial protein of unknown function (DUF922)
COG5662	K	sigma factor antagonist activity
COG5663	S	nucleotidase
COG5665	K	CCR4-NOT transcription complex, subunit 3
ENOG410XNMC	S	tonB-dependent Receptor
ENOG410XNMD	S	NA
ENOG410XNME	U	Type I secretion membrane fusion protein (HlyD
ENOG410XNMF	L	Type III restriction enzyme, res subunit
ENOG410XNMG	S	NA
ENOG410XNMJ	S	NA
ENOG410XNMK	S	alpha-N-acetylglucosaminidase
ENOG410XNMM	S	collagen, type
ENOG410XNMN	T	Histidine kinase
ENOG410XNMQ	S	glycine radical enzyme YjjI family
ENOG410XNMR	S	C-Type lectin
ENOG410XNMS	S	ankyrin repeat domain
ENOG410XNMT	U	Vacuolar Protein
ENOG410XNMU	S	NA
ENOG410XNMV	G	3'(2'), 5'-bisphosphate nucleotidase 1
ENOG410XNMX	V	(ABC) transporter
ENOG410XNMY	I	Dehydrogenase
ENOG410XNMZ	S	MMS19 nucleotide excision repair homolog (S. cerevisiae)
ENOG410XNN0	T	adenylate
ENOG410XNN1	S	Gamma-aminobutyric acid (GABA) B receptor
ENOG410XNN2	S	Centrosomal protein 120kDa
ENOG410XNN3	P	drug resistance transporter emrb qaca subfamily
ENOG410XNN4	S	neural plate axis specification
ENOG410XNN6	U	Sortilin-related VPS10 domain containing receptor
ENOG410XNN7	O	RING finger protein 41
ENOG410XNN8	S	mRNA transport
ENOG410XNN9	P	tonB-dependent Receptor
ENOG410XNNA	S	Uncharacterized protein conserved in bacteria (DUF2252)
ENOG410XNNB	M	Cellulose synthase regulator protein
ENOG410XNNC	P	ATPase, Ca transporting, plasma membrane
ENOG410XNND	S	Brefeldin A-inhibited guanine nucleotide-exchange protein
ENOG410XNNE	S	SPRY domain containing 7
ENOG410XNNF	S	transmembrane signal peptide protein
ENOG410XNNG	S	Short-chain dehydrogenase reductase Sdr
ENOG410XNNI	S	aspic unbv domain protein
ENOG410XNNJ	S	NA
ENOG410XNNK	S	Domain of unknown function (DUF1852)
ENOG410XNNM	S	zinc finger domain
ENOG410XNNN	S	exportin 4
ENOG410XNNP	T	guanine nucleotide exchange factor (GEF)
ENOG410XNNQ	S	nucleolar protein with MIF4G domain 1
ENOG410XNNR	S	NA
ENOG410XNNS	M	nucleotidyl transferase
ENOG410XNNT	P	(ABC) transporter
ENOG410XNNU	U	nucleoporin
ENOG410XNNV	P	TonB dependent receptor
ENOG410XNNW	S	Dehydrogenase
ENOG410XNNX	P	drug resistance transporter, Bcr CflA
ENOG410XNNY	S	coatomer protein complex, subunit beta 2 (beta prime)
ENOG410XNNZ	U	Magnesium transporter
ENOG410XNP0	M	glycosyl transferase family
ENOG410XNP1	I	Dehydrogenase
ENOG410XNP2	S	pre-mRNA-splicing factor cwc-22
ENOG410XNP3	S	Methyl-accepting chemotaxis
ENOG410XNP4	G	protein TIM barrel
ENOG410XNP5	S	TNF receptor-associated factor 7, E3 ubiquitin protein ligase
ENOG410XNP6	U	Calcium channel
ENOG410XNP7	J	formation of translation preinitiation complex
ENOG410XNP8	S	U4 u6 small nuclear ribonucleoprotein
ENOG410XNP9	G	Binding-protein-dependent transport systems inner membrane component
ENOG410XNPA	S	protein ubiquitination
ENOG410XNPB	S	Coiled-coil domain containing 147
ENOG410XNPC	S	chromosome 19 open reading frame 6
ENOG410XNPD	S	Uncharacterized protein conserved in bacteria (DUF2326)
ENOG410XNPF	P	Binding-protein-dependent transport systems inner membrane component
ENOG410XNPG	S	NA
ENOG410XNPH	T	protein serine/threonine kinase activity
ENOG410XNPI	S	secreted protein
ENOG410XNPJ	Q	polyketide synthase
ENOG410XNPM	S	Exostoses (Multiple)-like 3
ENOG410XNPN	S	CO2 hydration protein
ENOG410XNPP	T	Casein Kinase
ENOG410XNPQ	P	tonB-dependent receptor plug
ENOG410XNPT	S	NA
ENOG410XNPU	M	Outer membrane protein, OMP85 family
ENOG410XNPV	S	Carbamoyl-phosphate synthase L chain, ATP binding domain
ENOG410XNPX	P	Receptor
ENOG410XNPY	S	ataxia telangiectasia mutated
